class,feature,mean_abs_shap
Bearish,Max_Temp_C,0.03482071324268935
Bearish,Min_Temp_C,0.04482240009378356
Bearish,Precipitation_mm,0.013001271215015204
Bearish,is_spring,0.020735503571840768
Bearish,is_summer,0.018904885125223744
Bearish,is_fall,0.021480137698903886
Bullish,Max_Temp_C,0.025255061641031737
Bullish,Min_Temp_C,0.027463325315500067
Bullish,Precipitation_mm,0.012269469645321874
Bullish,is_spring,0.01737889391213183
Bullish,is_summer,0.012336748379853015
Bullish,is_fall,0.01417017557788421
Neutral,Max_Temp_C,0.03024544753136814
Neutral,Min_Temp_C,0.0403669309856707
Neutral,Precipitation_mm,0.013935297060232945
Neutral,is_spring,0.007278491177527251
Neutral,is_summer,0.02619438685406881
Neutral,is_fall,0.009948100021046572
