window_start,window_end,best_model,second_model,best_rmse,best_mae,second_rmse,second_mae,rmse_gap
2010-01-04,2010-05-12,Hidden Markov Model,Random Forest,15.685014269009995,12.596428571428559,12.417857976567076,10.299880952380953,3.2671562924429196
2010-05-13,2010-09-20,Random Forest,XGBoost,136.41238059169405,129.69920454545453,134.61886660901988,121.14002713290128,1.7935139826741704
2010-06-25,2010-11-01,Random Forest,XGBoost,39.334064760652915,35.13190476190476,41.69425395366141,37.309834798177086,-2.3601891930084946
2010-08-09,2010-12-14,Random Forest,XGBoost,63.33444126458856,61.73249999999999,63.22239926084209,59.127935500372026,0.112042003746474
2010-12-15,2011-04-25,Random Forest,XGBoost,35.356417923091044,30.86079545454546,37.880746395094405,32.873876398259945,-2.5243284720033614
2011-01-28,2011-06-07,Random Forest,XGBoost,56.7936861115992,49.449285714285715,56.9561431090572,45.970973423549104,-0.16245699745800124
2011-03-14,2011-07-20,Random Forest,XGBoost,25.660824193611845,21.03454545454546,34.28700174985835,27.540463534268465,-8.626177556246503
2011-04-26,2011-08-31,Random Forest,XGBoost,52.79381770714482,40.518095238095235,57.69211713791669,44.30718994140625,-4.898299430771871
2011-09-01,2012-01-10,Random Forest,XGBoost,31.633117361210147,26.462738095238088,32.93555798236592,27.108241489955358,-1.3024406211557746
2012-02-24,2012-07-02,Random Forest,XGBoost,146.2108630662285,141.6795238095238,145.7074571265252,140.60919770740327,0.503405939703299
2012-04-09,2012-08-14,Random Forest,XGBoost,131.6900543789144,107.7436904761905,138.43348772414257,104.17969912574405,-6.743433345228169
2012-05-21,2012-09-26,Random Forest,XGBoost,93.71249772939477,85.46227272727272,128.9400614077035,115.58090209960938,-35.22756367830873
2012-08-15,2012-12-24,Hidden Markov Model,KNeighborsTimeSeries,52.015773379145955,49.02090643274853,32.918803617065855,28.252631578947376,19.0969697620801
2012-12-26,2013-05-06,Random Forest,XGBoost,21.6047662772097,16.13345238095238,24.847599015603446,19.89640880766369,-3.242832738393748
2013-02-08,2013-06-18,Random Forest,Hidden Markov Model,59.958453165107414,39.10142857142856,63.71903307777701,39.67248677248676,-3.7605799126695985
2013-03-25,2013-07-31,Random Forest,XGBoost,141.51308044765364,130.90715909090906,146.76903407070049,130.16644564541903,-5.2559536230468495
